indicator;País__ESTANDAR;Grandes grupos de edad (6);Años__ESTANDAR;value;unit;notes_ids;source_id
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1950;19.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1951;19.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1952;19.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1953;18.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1954;18.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1955;17.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1956;17.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1957;17.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1958;16.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1959;16.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1960;15.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1961;16.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1962;16.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1963;16.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1964;15.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1965;15.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1966;15.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1967;15.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1968;15.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1969;15.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1970;15.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1971;15.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1972;16.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1973;16.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1974;17.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1975;15.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1976;15.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1977;16.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1978;16.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1979;16.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1980;15.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1981;15.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1982;15.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1983;15.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1984;15.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1985;15.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1986;15.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1987;15.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1988;15.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1989;14.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1990;14.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1991;14.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1992;13.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1993;13.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1994;13.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1995;12.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1996;12.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1997;11.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1998;11.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;1999;11.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2000;11.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2001;10.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2002;10.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2003;10.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2004;10.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2005;10.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2006;10.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2007;9.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2008;10.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2009;10.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2010;10.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2011;10.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2012;10.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2013;10.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2014;10.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2015;9.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2016;9.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2017;8.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2018;7.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2019;7.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2020;5.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2021;5.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2022;5.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2023;6.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2024;6.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2025;6.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2026;5.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2027;5.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2028;5.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2029;5.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2030;5.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2031;5.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2032;5.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2033;5.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2034;5.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2035;4.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2036;4.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2037;4.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2038;4.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2039;4.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2040;4.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2041;3.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2042;3.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2043;3.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2044;3.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2045;3.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2046;3.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2047;2.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2048;2.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2049;2.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2050;2.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2051;2.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2052;1.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2053;1.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2054;1.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2055;1.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2056;1.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2057;0.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2058;0.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2059;0.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2060;0.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2061;0.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2062;0.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2063;-0.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2064;-0.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2065;-0.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2066;-0.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2067;-0.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2068;-0.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2069;-1.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2070;-1.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2071;-1.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2072;-1.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2073;-1.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2074;-1.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2075;-2.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2076;-2.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2077;-2.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2078;-2.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2079;-2.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2080;-2.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2081;-2.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2082;-2.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2083;-2.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2084;-3.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2085;-3.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2086;-3.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2087;-3.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2088;-3.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2089;-3.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2090;-3.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2091;-3.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2092;-3.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2093;-3.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2094;-3.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2095;-3.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2096;-4.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2097;-4.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2098;-4.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2099;-4.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Argentina;Total;2100;-4.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1950;14.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1951;15.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1952;16.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1953;17.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1954;17.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1955;18.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1956;19.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1957;19.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1958;20.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1959;20.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1960;20.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1961;20.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1962;20.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1963;20.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1964;21.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1965;21.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1966;21.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1967;21.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1968;21.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1969;21.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1970;22.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1971;22.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1972;22.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1973;22.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1974;22.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1975;22.4;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1976;22.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1977;22.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1978;22.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1979;22.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1980;22.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1981;21.7;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1982;21.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1983;21.3;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1984;21.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1985;21.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1986;21.1;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1987;21.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1988;21.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1989;21.0;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1990;20.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1991;20.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1992;20.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1993;19.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1994;19.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1995;18.8;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1996;18.6;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1997;18.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1998;18.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;1999;18.2;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;2000;17.9;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;2001;17.5;Tasa anual media, por cada 1.000 habitantes;;6547
Tasa anual de crecimiento de la población total, por grupos de edad;Bolivia (Estado Plurinacional de);Total;2002;17.5;Tasa anual media, por cada 1.000 habitantes;;6547
